Country,Laws,MenTotal,MenUrban,MenRural,MenPoorest,MenSecond,MenMiddle,MenFourth,MenRichest,MenYear,WomenTot,WomUrban,WomRural,WomPoorest,WomSecond,WomMiddle,WomFourth,WomRichest,WomYear
Niger,No,27,25,28,22,25,33,26,27,2012,60,49,62,59,63,65,62,51,2012
Nigeria,Yes,25,19,29,31,31,27,23,15,2013,35,26,41,43,45,42,30,19,2013
Pakistan,No,32,23,37,52,43,34,19,17,2012-2013,42,27,50,54,57,48,36,19,2012-2013
Philippines,Yes,,,,,,,,,,14,12,17,21,19,15,12,8,2008
Moldova,Yes,13,10,15,25,15,14,10,7,2012,11,9,13,22,16,11,8,6,2012
Rwanda,Yes,25,20,26,34,31,26,24,17,2010,56,40,59,66,63,59,56,40,2010
Saint Lucia,,,,,,,,,,,7,10,6,,,,,,2012
Samoa,,46,34,48,53,48,43,48,39,2009,61,37,67,65,65,63,60,52,2009
Sao Tome and Principe,,22,17,26,32,28,18,19,13,2008-2009,20,19,20,24,21,18,21,15,2008-2009
Senegal,Yes,25,21,30,39,29,23,24,16,2010-2011,60,49,71,80,70,63,54,42,2010-2011
Serbia,Yes,7,4,10,17,5,11,1,2,2010,3,1,5,11,4,2,1,0,2010
Sierra Leone,Yes,,,,,,,,,,73,62,80,82,80,80,75,53,2010
Solomon Islands,,65,76,63,62,69,60,62,72,2007,69,65,70,66,71,68,71,68,2007
Somalia,,,,,,,,,,,76,68,80,85,83,80,67,65,2006
South Sudan,,,,,,,,,,,79,78,79,83,77,77,79,78,2010
Sri Lanka,Yes,,,,,,,,,,53,47,55,57,57,55,54,43,2006-2007
Sudan,,,,,,,,,,,47,38,52,69,60,49,36,29,2010
Suriname,,,,,,,,,,,13,10,19,22,16,11,9,6,2010
Swaziland,,23,16,26,29,28,27,22,15,2010,28,14,33,42,40,30,24,12,2010
Tajikistan,,,,,,,,,,,60,51,63,66,65,61,58,48,2012
Thailand,Yes,,,,,,,,,,13,10,15,18,20,14,10,6,2012
Macedonia,,,,,,,,,,,15,7,24,36,21,12,5,2,2011
Timor-Leste,,81,86,79,81,80,79,80,83,2009-2010,86,89,85,81,85,88,88,89,2009-2010
Togo,,21,16,22,,,,,,2012,43,39,47,48,49,47,44,32,2010
Tonga,,,,,,,,,,2007,29,,,,,,,,2012
Trinidad and Tobago,,,,,,,,,,2011,8,,,12,10,9,5,3,2006
Tunisia,No,,,,,,,,,2012,30,24,44,49,38,31,23,14,2011-2012
Turkey,Yes,,,,,,,,,2010,25,21,36,43,35,28,18,7,2008
Tuvalu,,73,,,75,73,74,71,73,2002,70,,,71,68,68,65,78,2007
Uganda,Yes,44,29,47,49,49,47,40,36,2013,58,46,61,58,61,63,67,47,2011
Ukraine,Yes,9,8,14,17,9,10,7,7,2007,3,2,6,7,4,3,2,2,2012
Tanzania,,38,27,42,46,46,42,37,25,2010-2011,54,43,58,61,59,60,57,36,2010
Uzbekistan,No,61,51,67,,,,,,,70,53,81,,,,,,2002
Vanuatu,,60,69,55,60,58,56,65,62,,60,60,60,56,60,64,61,57,2013
Viet Nam,,,,,,,,,,,36,27,40,49,44,38,32,20,2011
Zambia,Yes,49,43,54,49,57,60,52,34,,62,56,66,65,68,71,65,47,2007
Zimbabwe,Yes,34,27,38,39,41,39,32,23,,40,29,46,52,49,46,34,25,2010-2011
