Country,Rank,Score,Undernourishment,Underweight,Enough.to.Eat.Score,Food.Price.Level,Food.Price.Inflation,Afford.Score,Nutrition.Diversity,Safe.Water,Food.Quality.Score,Diabetes,Obesity,Unhealthy.Eating.Score,Raw.Undernourish,Raw.Underweight,Raw.Food.Price,Raw.Inflation.Volatility,Raw.Diet.Diversity,Raw.Safe.Water,Raw.Diabetes,Raw.Obesity,Code,Region,Income.group
Estonia,25,15,0,0,0,33,14,24,21,2,12,25,28,27,4,0.9,1.22,0.048608434,41,98,11.5,21.3,EST,Europe & Central Asia,High income: OECD
Hungary,25,15,0,0,0,33,9,21,10,0,5,30,38,34,4,3.4,1.31,0.016251223,44,94.4,13.1,32.1,HUN,Europe & Central Asia,Upper middle income
Slovakia,25,15,0,0,0,29,8,19,22,0,11,29,35,32,33,11.8,2.51,0.061550625,62,72.4,6.8,4.7,SVK,Europe & Central Asia,Upper middle income
Czech Republic,30,16,0,5,3,22,7,15,12,0,6,34,45,40,4,999,1.37,0.032258677,36,100,10.6,25.4,CZE,Europe & Central Asia,High income: OECD
Croatia,30,16,0,1,1,34,7,21,19,2,11,30,33,32,5.4,17.8,1.69,0.095468434,40,98.6,6.2,12.9,HRV,Europe & Central Asia,High income: nonOECD
Latvia,30,16,0,0,0,28,15,22,21,2,12,31,34,33,21.3,4.5,1.64,0.065131081,52,88,8.7,17.9,LVA,Europe & Central Asia,High income: nonOECD
Malta,33,17,0,0,0,33,6,20,19,0,10,35,40,38,4,3.5,1.91,0.136147255,50,99.7,9,27.8,MLT,Europe & Central Asia,High income: nonOECD
Slovenia,33,17,0,0,0,31,9,20,26,1,14,31,39,35,25.8,16.4,2.38,0.084068994,55,60.9,6.2,4.2,SVN,Europe & Central Asia,High income: OECD
Ukraine,33,17,0,2,1,22,13,18,31,3,17,33,29,31,30.5,10.1,2.06,1.335574539,59,80,7.7,7,UKR,Europe & Central Asia,Lower middle income
Argentina,36,18,0,5,3,27,26,27,16,1,9,31,41,36,4,999,1.05,0.013442236,24,100,8.6,17.5,ARG,Latin America & Caribbean,Upper middle income
Bulgaria,36,18,0,4,2,28,16,22,29,1,15,32,32,32,4,999,1.27,0.019630506,28,100,9.4,25.5,BGR,Europe & Central Asia,Upper middle income
Colombia,36,18,10,8,9,43,7,25,31,10,21,8,23,16,4,999,1.46,0.050175954,35,98.8,9.7,20.6,COL,Latin America & Caribbean,Upper middle income
Republic of Korea,36,18,0,2,1,61,24,43,38,3,21,9,9,9,5.4,13,1.75,0.045149405,47,99.8,10.4,18.5,KOR,East Asia & Pacific,High income: OECD
The former Yugoslav Republic of Macedonia,36,18,0,4,2,41,14,28,24,1,13,27,29,28,5.6,8.8,2.49,0.030955344,52,87.9,8.5,13.9,MKD,Europe & Central Asia,Upper middle income
Kuwait,41,19,0,4,2,9,8,9,34,1,18,35,58,47,5.9,2.7,2.02,0.028224802,55,88.7,9.8,15.5,KWT,Middle East & North Africa,High income: nonOECD
Albania,42,20,0,14,7,47,5,26,29,8,19,26,29,28,4,999,1.06,0.017294949,29,100,6.8,18.2,ALB,Europe & Central Asia,Upper middle income
Thailand,42,20,3,15,9,55,7,31,50,6,28,14,11,13,15.2,20.8,2.85,0.088310982,64,73.6,7.5,4.4,THA,East Asia & Pacific,Upper middle income
Chile,44,21,0,1,1,42,12,27,38,2,20,29,40,35,4,1.3,1,0.0129716,25,98.8,12.3,33,CHL,Europe & Central Asia,High income: OECD
Kazakhstan,44,21,0,11,6,32,13,23,41,7,24,32,32,32,4,1.6,1.67,0.054198835,49,98.8,12,26.5,KAZ,Europe & Central Asia,Upper middle income
Republic of Moldova,44,21,0,7,4,37,20,29,40,5,23,32,29,31,4,14.3,1.72,0.049216073,64,86.3,8.8,7.5,MDA,Europe & Central Asia,Lower middle income
Maldives,44,21,2,39,21,44,28,36,29,2,16,9,17,13,4,3.7,2.29,0.071572951,41,92.9,10,30.3,MDV,South Asia,Upper middle income
Mexico,44,21,0,8,4,26,3,15,36,8,22,40,44,42,8.3,20.2,1.69,0.091776557,61,95.6,6.9,1.7,MEX,Latin America & Caribbean,Upper middle income
Malaysia,44,21,0,28,14,41,5,23,43,1,22,28,18,23,20,13.8,1.85,0.047090009,71,83.7,5.4,4.3,MYS,East Asia & Pacific,Upper middle income
Russian Federation,44,21,0,6,3,40,11,26,34,4,19,33,36,35,21.6,19.2,2.02,0.038491924,62,73.4,8.9,6.8,RUS,Europe & Central Asia,High income: nonOECD
Jordan,51,22,0,4,2,24,14,19,41,5,23,46,41,44,4,5.3,1.89,0.038445653,46,99.2,12.3,24,JOR,Middle East & North Africa,Upper middle income
Lithuania,51,22,0,0,0,51,15,33,24,11,18,34,38,36,4,8.7,1.48,0.043371949,54,91.5,10.6,31.3,LTU,Europe & Central Asia,High income: nonOECD
Peru,51,22,12,10,11,43,6,25,59,21,40,6,21,14,22.8,21.6,1.83,0.097935291,56,92.6,8.8,5.1,PER,Latin America & Caribbean,Upper middle income
Romania,51,22,0,8,4,31,26,29,36,17,27,28,26,27,17.2,30.9,2.14,0.067128626,50,91.4,11.7,5.5,ROM,Europe & Central Asia,Upper middle income
Tunisia,51,22,0,7,4,47,3,25,52,5,29,32,30,31,26.7,31.6,2.21,0.03155239,73,69.6,6.2,2.6,TUN,Middle East & North Africa,Upper middle income
Uruguay,51,22,3,13,8,30,15,23,45,0,23,33,34,34,36.8,18.3,2.13,0.04432763,75,47.2,6.9,4.9,URY,Central America,High income: nonOECD
Armenia,57,23,0,12,6,54,10,32,40,1,21,36,33,35,4,999,1.2,0.038696856,27,100,7.1,20.9,ARM,Europe & Central Asia,Lower middle income
Bosnia and Herzegovina,57,23,0,4,2,44,15,30,45,2,24,35,36,36,4,999,1.15,0.030465627,31,100,10.3,23,BIH,Europe & Central Asia,Upper middle income
Belarus,57,23,0,3,2,51,38,45,24,0,12,31,33,32,4,1.1,1.1,0.023108327,28,100,10.6,25.1,BLR,Europe & Central Asia,Upper middle income
China,57,23,12,8,10,61,14,38,50,12,31,23,7,15,4,999,1.26,0.029725897,35,100,10,26.2,CHN,East Asia & Pacific,Upper middle income
Ecuador,57,23,19,14,17,42,25,34,22,12,17,22,29,26,4,999,1.35,0.054651927,35,98.4,11.2,24.9,ECU,Latin America & Caribbean,Upper middle income
Fiji,57,23,0,15,8,30,8,19,41,5,23,43,42,43,10.6,3.4,1.66,0.028940129,41,92.9,5.9,17.3,FJI,East Asia & Pacific,Upper middle income
Mauritius,57,23,2,29,16,47,12,30,41,0,21,28,25,27,9.1,18.6,2,0.042187829,67,84.3,6.3,4.8,MUS,Sub-Saharan Africa,Upper middle income
Kyrgyzstan,65,24,3,6,5,60,6,33,55,16,36,25,21,23,16.3,6.2,1.63,0.084362483,36,91.8,9,21.4,KGZ,Europe & Central Asia,Lower middle income
Morocco,65,24,2,7,5,41,5,23,64,25,45,26,22,24,25.7,11.2,1.95,0.050153575,48,96.8,7.5,11.2,MAR,Middle East & North Africa,Lower middle income
Philippines,67,25,19,46,33,38,7,23,64,11,38,7,7,7,26.2,7.1,1.55,0.069857445,60,84.9,10.6,27,PHL,East Asia & Pacific,Lower middle income
Paraguay,67,25,29,8,19,44,18,31,34,19,27,24,24,24,17,43.5,1.57,0.040686116,62,91.6,10,1.9,PRY,Latin America & Caribbean,Lower middle income
Syrian Arab Republic,67,25,3,22,13,36,17,27,41,14,28,29,37,33,25,26,2.12,0.079418337,72,80,7.1,2.3,SYR,Middle East & North Africa,Lower middle income
South Africa,67,25,0,19,10,34,11,23,53,12,33,29,43,36,24.4,15.6,2.41,0.313992507,60,53.4,6.9,6.4,ZAF,Sub-Saharan Africa,Upper middle income
Bolivia (Plurinational State of),71,26,27,10,19,42,19,31,50,17,34,20,24,22,4,1.1,1.1,0.020955639,32,99.8,10.8,20.1,BOL,Latin America & Caribbean,Lower middle income
Botswana,71,26,34,25,30,57,14,36,43,5,24,15,14,15,4,999,1.15,0.021515291,32,100,11.1,21.5,BWA,Sub-Saharan Africa,Upper middle income
Ghana,71,26,0,32,16,46,13,30,71,19,45,21,9,15,5.8,7,1.91,0.028860853,52,95.8,7.3,8.8,GHA,Sub-Saharan Africa,Lower middle income
Saudi Arabia,71,26,0,12,6,19,10,15,53,4,29,61,46,54,15.7,13.5,1.76,0.066105149,80,77.7,9.8,14.6,SAU,Middle East & North Africa,High income: nonOECD
Venezuela (Bolivarian Republic of),71,26,0,8,4,73,21,47,31,10,21,26,42,34,13.9,39.9,2.46,0.080772397,59,50.3,7,2.4,VEN,Latin America & Caribbean,Upper middle income
Viet Nam,71,26,7,45,26,44,27,36,66,6,36,12,1,7,28.8,43.1,1.63,0.084979709,62,54.8,9.1,14.5,VNM,East Asia & Pacific,Lower middle income
Gabon,77,27,3,19,11,83,7,45,50,17,34,19,18,19,4,1.8,1.62,0.051253768,37,99.6,10.2,21.1,GAB,Sub-Saharan Africa,Upper middle income
Sao Tome and Principe,77,27,5,32,19,79,25,52,41,4,23,18,12,15,28.2,28,2.21,0.044931743,55,67.1,6.7,3.5,STP,Sub-Saharan Africa,Lower middle income
Turkey,77,27,0,8,4,55,42,49,47,0,24,22,38,30,15.5,20.5,2.23,0.06770858,73,59,7.5,4.3,TUR,Europe & Central Asia,Upper middle income
Egypt,80,28,0,15,8,57,20,39,76,1,39,10,46,28,4,999,1.45,0.02594496,34,100,12,28.8,EGY,Middle East & North Africa,Lower middle income
Iran (Islamic Republic of),80,28,0,10,5,89,16,53,55,7,31,18,26,22,4,999,1.83,0.05528729,37,92,11.8,27.6,IRN,Middle East & North Africa,Upper middle income
Mongolia,80,28,27,12,20,48,35,42,43,21,32,20,19,20,4,6.8,1.96,0.068798708,67,99.3,6.5,33.1,MNG,East Asia & Pacific,Lower middle income
Indonesia,83,29,8,41,25,59,11,35,76,22,49,9,5,7,4,3.2,1.54,0.069598148,46,96.2,11.3,21.2,IDN,East Asia & Pacific,Lower middle income
Rwanda,83,29,41,26,34,49,17,33,48,44,46,4,5,5,16,15.8,2.79,0.065705179,62,89.3,9.6,7.9,RWA,Sub-Saharan Africa,Low income
Malawi,85,30,25,30,28,52,13,33,83,23,53,5,5,5,29.7,11.7,1.78,0.060467695,51,68.9,5.1,4.3,MWI,Sub-Saharan Africa,Low income
Namibia,85,30,40,39,40,48,16,32,59,9,34,16,12,14,29.3,17.5,1.77,0.056646173,57,93.4,7.8,9.5,NAM,Sub-Saharan Africa,Upper middle income
Uganda,85,30,41,36,39,53,27,40,38,36,37,5,5,5,29.4,21.3,2.42,0.063354072,61,57.5,8.4,6.8,UGA,Sub-Saharan Africa,Low income
Cameroon,88,31,15,37,26,60,10,35,59,36,48,21,13,17,6.9,2.2,1.31,0.051927717,34,97.2,9.7,18.8,CMR,Sub-Saharan Africa,Lower middle income
Guinea-Bissau,88,31,10,38,24,57,16,37,67,40,54,15,5,10,4,4.9,1.43,0.048110146,47,94.8,11.3,23.7,GNB,Sub-Saharan Africa,Low income
Cambodia,88,31,18,64,41,22,11,17,88,47,68,0,1,1,4,6.9,1.39,0.033514685,47,96.3,13.8,30.6,KHM,East Asia & Pacific,Low income
Azerbaijan,91,32,0,19,10,55,22,39,69,28,49,34,32,33,4,999,1.14,0.021733526,28,100,8.8,18.6,AZE,Europe & Central Asia,Upper middle income
Benin,91,32,3,45,24,59,16,38,83,34,59,6,7,7,4,999,1.19,0.016438025,33,100,9.1,19.8,BEN,Sub-Saharan Africa,Low income
Sri Lanka,91,32,30,48,39,51,29,40,57,10,34,21,6,14,22.3,3.4,1.67,0.062102742,43,86.5,9.6,17.9,LKA,South Asia,Lower middle income
Nepal,91,32,19,64,42,42,13,28,84,18,51,19,0,10,4,8.4,1.91,0.07607987,63,80.2,11.7,23.8,NPL,South Asia,Low income
Iraq,95,33,35,16,26,38,20,29,64,21,43,29,37,33,11.8,4.5,1.66,0.027286027,57,85.3,5.5,15.7,IRQ,Middle East & North Africa,Upper middle income
Mauritania,95,33,6,35,21,68,8,38,45,71,58,12,17,15,21.2,5.3,1.77,0.115293321,48,85.3,8.7,14.4,MRT,Sub-Saharan Africa,Lower middle income
India,97,34,21,96,59,39,11,25,67,12,40,26,1,14,4,2.9,1.6,0.04350943,43,97,11.6,26.5,IND,South Asia,Lower middle income
Pakistan,97,34,21,68,45,66,19,43,47,12,30,34,6,20,16,29.1,1.63,0.049007787,72,87.6,8.4,1.4,PAK,South Asia,Lower middle income
Senegal,97,34,28,42,35,60,10,35,67,38,53,21,8,15,16.3,41.3,1.59,0.0315103,80,83.2,8.4,1.1,SEN,Sub-Saharan Africa,Lower middle income
Gambia,100,36,19,35,27,97,19,58,67,15,41,24,10,17,4,1.7,0.94,0.033687614,43,99,11.9,42,GAM,Sub-Saharan Africa,Low income
Lesotho,100,36,18,30,24,48,19,34,98,32,65,25,19,22,16.2,20.7,1.55,0.029230667,60,92.4,5.8,6.3,LSO,Sub-Saharan Africa,Lower middle income
Bangladesh,102,37,19,91,55,40,8,24,98,24,61,19,0,10,4,0.1,1.05,0.026608021,33,99.7,7.9,24,BGD,South Asia,Low income
Central African Republic,102,37,38,62,50,69,12,41,55,47,51,11,3,7,4,1.6,1.07,0.023706787,27,100,11.3,26.6,CAF,Sub-Saharan Africa,Low income
Cote d'Ivoire,102,37,26,65,46,66,11,39,76,29,53,17,7,12,4,999,1.27,0.027083798,28,100,11.3,28.3,CIV,Sub-Saharan Africa,Lower middle income
Congo,102,37,46,26,36,84,17,51,67,39,53,12,5,9,4,999,1.28,0.011053109,29,99.8,11.1,26.2,COG,Sub-Saharan Africa,Lower middle income
Kenya,102,37,34,36,35,78,25,52,55,55,55,9,4,7,11.4,3.6,2.04,0.049927657,52,91.7,9.4,5.7,KEN,Sub-Saharan Africa,Low income
Swaziland,102,37,50,16,33,67,14,41,64,39,52,22,27,25,43.1,14.9,1.42,0.066553986,74,64.1,6.1,3.6,SWZ,Sub-Saharan Africa,Lower middle income
Zambia,102,37,62,33,48,32,19,26,88,51,70,9,4,7,37.1,29.2,1.86,0.162842653,75,49,5.9,1.1,ZMB,Sub-Saharan Africa,Lower middle income
Burkina Faso,109,38,33,57,45,65,23,44,84,28,56,13,2,8,4,999,1.1,0.014740696,27,100,9.4,26,BFA,Sub-Saharan Africa,Low income
Mali,110,39,5,62,34,60,35,48,81,49,65,16,5,11,7.2,14.4,2.42,0.085867366,47,97,8.3,9.5,MLI,Sub-Saharan Africa,Low income
Nigeria,110,39,5,59,32,77,20,49,72,55,64,19,8,14,15.4,29,1.22,0.041630936,74,67.1,4.2,2.1,NGA,Sub-Saharan Africa,Lower middle income
Guinea,112,40,18,46,32,100,26,63,71,37,54,15,5,10,4,0.5,1.64,0.046034799,45,98.5,10.6,29.4,GIN,Sub-Saharan Africa,Low income
Lao People's Democratic Republic,112,40,36,70,53,69,8,39,86,43,65,9,2,6,5,3.1,1.62,0.024297303,60,82.1,9.9,16.4,LAO,East Asia & Pacific,Lower middle income
Togo,112,40,18,45,32,70,19,45,86,58,72,15,5,10,7.3,26.7,2.36,0.069275003,65,61.1,8.5,6.5,TGO,Sub-Saharan Africa,Low income
United Republic of Tanzania,112,40,46,36,41,80,10,45,62,66,64,13,6,10,33,16.2,2.43,0.038450655,59,53.3,7.2,5,TZA,Sub-Saharan Africa,Low income
Sierra Leone,116,42,40,47,44,79,18,49,66,60,63,19,8,14,20.5,29.4,2.14,0.041084246,67,79.9,8.1,6.2,SLE,Sub-Saharan Africa,Low income
Zimbabwe,117,43,42,22,32,62,100,81,62,28,45,16,8,12,29.4,33.9,2.73,0.096485615,65,50.2,7.4,2.7,ZWE,Sub-Saharan Africa,Low income
Mozambique,118,44,52,40,46,66,12,39,90,75,83,12,5,9,4,4.6,2.62,0.058012693,55,95.3,8.3,19.4,MOZ,Sub-Saharan Africa,Low income
Burundi,119,45,100,78,89,67,22,45,47,36,42,3,3,3,4,0,1.16,0.01861017,26,100,9.4,26.8,BDI,Sub-Saharan Africa,Low income
Niger,119,45,16,88,52,81,24,53,62,70,66,13,2,8,30.1,16.4,1.87,0.090042795,45,74.8,5.3,4.3,NER,Sub-Saharan Africa,Low income
Yemen,121,47,39,95,67,42,25,34,67,64,66,22,19,21,27.2,36.8,1.99,0.077512703,79,48.1,6.4,1.6,YEM,Middle East & North Africa,Lower middle income
Madagascar,122,48,37,81,59,59,23,41,97,74,86,10,1,6,4,5.3,1.16,0.039195307,54,97,17.9,33,MDG,Sub-Saharan Africa,Low income
Angola,123,49,32,34,33,79,100,90,64,66,65,12,8,10,4,999,0.89,0.030284577,25,100,6.3,18.8,AGO,Sub-Saharan Africa,Upper middle income
Ethiopia,123,49,52,64,58,53,51,52,90,72,81,8,0,4,4,2.3,1.33,0.087513503,32,99.2,11.1,29.7,ETH,Sub-Saharan Africa,Low income
Chad,125,50,40,75,58,94,29,62,72,71,72,14,2,8,7.3,27.9,2.02,0.116631878,70,65.4,7.8,4.3,TCD,Sub-Saharan Africa,Low income
